ID	HT
mo28w	193.5
mo3	199.75
mo30w	207.0
mo39	192.75
mo45	217.5
mo47	164.0
mo5	173.5
mo7	202.0
mog	219.6667
mp339	171.0
ms106	158.0
ms116	181.5
ms12	139.75
ms132	161.25
ms142	186.0
ms153	170.25
ms211	167.6667
ms221	154.75
ms222	163.0
ms223	192.5
ms224	214.0
ms225	210.5
ms24a	129.5
mt42	136.75
n193	179.5
n197	163.75
n28	177.25
n28ht	181.25
n501	190.25
n527	165.75
n534	210.0
n538	176.0
n542	176.5
n545	192.75
n6	170.0
n7a	178.75
nc13	225.0
nc222	159.0
nc230	156.0
nc232	165.5
nc236	202.0
nc250	171.5
nc264	183.25
nc318	183.75
nc340	209.3333
nc342	193.25
nc344	194.5
nc356	180.5
nc358	188.3333
nc412	155.25
nc472	206.25
nd101	99.0
nd167	109.5
nd230	158.25
nd245	138.5
nd246	150.25
nd247	136.75
nd251	88.75
nd260	131.75
nd262	104.75
nd265	159.0
nd283	134.75
nk740	177.25
nkh8431	163.25
nks8324	163.25
no._380	155.75
np87	198.5
ny6371	185.75
oh33	203.25
oh40b	160.5
oh43	162.5
oh7b	232.25
os420	178.75
os426	178.25
p39	131.5
pa392	162.0
pa468	152.75
pa762	148.0
pa778	174.25
pa891	188.5
phb09	174.3333
phg29	163.0
phg35	171.3333
phg39	184.5
phg47	132.25
phg50	170.75
phg72	168.0
phg80	177.0
phj40	158.25
phk76	175.3333
phr36	197.0
pht55	203.75
pht77	181.0
phv63	188.5
phw17	192.8
phz51	176.25
r101	181.5
r113	177.0
r134	216.5
r168	180.75
r181b	194.75
r197	196.0
r225	204.5
r226	199.25
r227	195.25
r229	181.5
r30	178.75
r4	197.75
r53	140.0
r71	182.25
r78	156.0
s_56	116.5
sd101	152.25
sd102	158.75
sd107	187.5
sd15	189.5
sd40	180.0
sd42	177.0
sd44	186.75
sg1533	187.75
sg18	209.0
t141	168.0
t146	124.0
t232	198.5
t234	174.25
t242	157.0
tr	174.3333
tzu-chiao-hsi-wu_105	177.3333
u_123	150.0
u267y	180.5
va102	173.0
va14	191.5
va38	199.6667
va52	165.0
va85	200.5
va99	190.25
vaw6	143.6667
w117ht	126.375
w153r	117.25
w182bn	178.875
w22	168.0
w23	187.75
w24	188.25
w32	175.75
w37a	179.5
w552	143.0
w59e	102.5
w601s	128.75
w603s	161.75
w604s	180.5
w605s	201.75
w606s	200.75
w607s	181.375
w608s	189.0
w609s	190.25
w610s	171.0
w611s	156.5
w612s	165.25
w64a	145.7143
w703	174.0
w85	145.3333
w9	183.3333
wr3	192.5
wxb6	166.25
04033v	137.75
33-16	198.5
Nov-38	206.3333
4554_inbred	136.5
4578_inbred	146.75
Feb-80	143.75
yang	152.75
yellow_3-4	156.0
ying-55	176.5
yong_28	178.0
yu796_ns	151.25
