,2017
531,26.02
532,21.82
533,25.3
534,16.39
535,18.94
536,24.61
537,17.28
538,22.8
539,20.56
540,23.19
541,24.87
542,13.47
543,12.5
544,28.6
545,27.09
546,16.68
547,19.24
548,17.29
549,18.06
550,24.88
551,18.56
552,33.2
553,18.06
554,24.36
555,21.65
556,14.99
557,21.08
558,31.6
559,17.11
560,29.61
561,27.6
562,18.85
563,20.3
564,30.84
565,31.44
566,18.07
567,15.47
568,18.22
569,22.52
570,26.98
571,22.89
572,22.97
