,2014
341,15.94
342,27.41
343,23.33
344,17.65
345,19.16
346,22.78
347,27.31
348,20.34
349,18.1
350,22.46
351,17.9
352,29.16
353,21.74
354,18.61
355,19.04
356,17.2
357,15.0
358,21.09
359,15.5
360,19.56
361,19.47
362,13.89
363,18.21
364,16.37
365,29.75
366,26.19
367,21.94
368,29.1
369,24.15
370,31.21
371,29.13
372,25.94
373,20.41
374,33.08
375,27.3
376,23.77
377,19.5
378,25.94
379,15.9
380,14.5
381,25.66
382,13.68
383,25.1
384,22.12
385,20.45
386,19.5
387,18.85
388,17.77
389,16.75
390,18.21
391,17.45
392,10.63
393,19.93
394,18.71
395,16.52
396,16.31
397,15.38
398,15.87
399,19.1
400,17.47
401,22.92
402,23.51
403,10.58
404,17.44
405,12.42
406,26.06
407,25.33
408,23.98
409,16.92
410,20.36
411,22.19
412,25.85
413,25.04
414,27.32
415,30.07
416,30.09
417,27.32
418,30.18
419,25.46
420,23.88
421,27.67
422,22.47
423,25.28
424,27.61
425,27.95
426,28.36
427,34.52
428,21.25
429,24.06
430,16.96
431,24.77
432,15.53
433,27.08
434,25.11
435,14.92
436,23.7
437,18.87
438,21.94
439,29.66
440,16.73
441,18.21
442,29.69
443,22.05
444,29.83
445,21.47
446,20.57
447,19.97
448,26.78
449,24.28
450,30.1
451,23.92
452,17.41
453,27.87
454,21.8
455,24.51
456,15.18
457,23.02
458,19.74
459,21.59
460,25.21
461,23.04
462,21.72
463,18.01
464,21.37
465,18.55
466,19.55
467,23.27
468,21.7
469,20.53
470,18.57
471,23.23
472,20.34
473,18.17
474,16.84
475,17.93
476,17.55
477,15.53
478,15.45
479,17.4
480,16.78
481,17.63
482,16.61
483,16.81
484,19.82
485,32.27
486,19.79
487,24.9
488,21.17
489,21.18
490,16.11
491,17.21
492,24.48
493,26.86
494,22.71
495,24.44
496,21.12
497,26.22
498,20.65
499,21.48
500,22.36
501,27.84
502,18.41
503,23.93
504,22.7
505,24.25
506,21.55
507,26.92
508,26.98
509,20.2
510,18.45
511,20.79
512,20.28
513,18.33
514,17.23
515,21.7
516,14.9
517,19.31
518,22.69
519,20.04
520,20.87
521,19.68
522,20.14
523,24.23
524,18.98
525,18.33
526,17.29
527,17.83
528,24.06
529,17.78
530,19.38
531,23.4
532,20.91
533,23.13
534,15.41
535,21.41
536,24.74
537,19.75
538,23.96
539,19.09
540,24.69
541,23.6
542,13.91
543,13.27
544,27.13
545,30.13
546,17.48
547,22.23
548,18.26
549,18.58
550,23.25
551,16.54
552,29.7
553,19.1
554,20.84
555,22.62
556,16.87
557,26.34
558,28.16
559,19.89
560,29.77
561,34.06
562,21.5
563,23.15
564,27.84
565,38.77
566,20.08
567,16.63
568,19.74
569,29.02
570,29.9
571,21.23
572,20.14
